Country,Last,Previous,Reference,Unit
Rwanda,-3.3,-3.2,Oct/21,%
Comoros,-2.46,-2.45,Jun/21,%
Cayman Islands,-1,-0.7,Mar/21,%
Chad,-0.9,-3.1,Sep/21,%
Maldives,-0.2,0.4,Sep/21,%
Bahrain,0.1,0.3,Aug/21,%
Japan,0.1,0.2,Oct/21,%
Bolivia,0.49,0.99,Oct/21,%
New Caledonia,0.63,0.9,Oct/21,%
Fiji,0.8,-0.4,Aug/21,%
Saudi Arabia,0.8,0.6,Oct/21,%
Gabon,0.9,1.3,May/21,%
Liechtenstein,0.9,0.9,Sep/21,%
Macau,0.91,0.83,Oct/21,%
United Arab Emirates,1.19,0.55,Sep/21,%
Bermuda,1.2,1.4,Jun/21,%
Switzerland,1.2,0.9,Oct/21,%
Palestine,1.28,1.72,Oct/21,%
Aruba,1.4,1.8,Aug/21,%
Malta,1.4,0.7,Oct/21,%
Ecuador,1.47,1.07,Oct/21,%
China,1.5,0.7,Oct/21,%
Afghanistan,1.56,1.35,Jun/21,%
Jordan,1.6,1.85,Oct/21,%
Indonesia,1.66,1.6,Oct/21,%
Hong Kong,1.7,1.4,Oct/21,%
Morocco,1.7,1.2,Oct/21,%
Vietnam,1.77,2.06,Oct/21,%
Portugal,1.8,1.5,Oct/21,%
Brunei,1.9,1.5,Aug/21,%
Uganda,1.9,2.2,Oct/21,%
Libya,2.08,1.48,Jun/21,%
Trinidad and Tobago,2.2,1.8,Jul/21,%
Benin,2.3,3,Oct/21,%
Israel,2.3,2.5,Oct/21,%
Thailand,2.38,1.68,Oct/21,%
Cameroon,2.39,2.22,Jun/21,%
Albania,2.4,2.5,Oct/21,%
Vanuatu,2.4,5.2,Jun/21,%
Costa Rica,2.5,2.09,Oct/21,%
Djibouti,2.55,2.55,Oct/21,%
Taiwan,2.58,2.63,Oct/21,%
France,2.6,2.2,Oct/21,%
Bahamas,2.7,2.4,Jun/21,%
Sweden,2.8,2.5,Oct/21,%
Malaysia,2.9,2.2,Oct/21,%
Mali,2.9,4.7,Oct/21,%
Panama,2.94,2.49,Oct/21,%
Cambodia,2.96,3.4,Sep/21,%
Guatemala,2.96,3.67,Oct/21,%
Australia,3,3.8,Sep/21,%
Denmark,3,2.2,Oct/21,%
Equatorial Guinea,3,1.2,Dec/20,%
Italy,3,2.5,Oct/21,%
Slovenia,3,2.4,Oct/21,%
Faroe Islands,3.1,3.1,Sep/21,%
Finland,3.2,2.5,Oct/21,%
Senegal,3.2,3,Oct/21,%
Singapore,3.2,2.5,Oct/21,%
South Korea,3.2,2.5,Oct/21,%
Swaziland,3.3,3.6,Oct/21,%
Papua New Guinea,3.31,4.65,Jun/21,%
Oman,3.35,2.46,Oct/21,%
Kuwait,3.36,3.2,Jun/21,%
Greece,3.4,2.2,Oct/21,%
Netherlands,3.4,2.7,Oct/21,%
Norway,3.5,4.1,Oct/21,%
Puerto Rico,3.5,3.3,Sep/21,%
Luxembourg,3.6,2.7,Oct/21,%
Namibia,3.6,3.5,Oct/21,%
Austria,3.7,3.3,Oct/21,%
Barbados,3.7,2.9,Jul/21,%
Cape Verde,3.8,2.7,Oct/21,%
Croatia,3.8,3.3,Oct/21,%
Montenegro,3.8,2.9,Oct/21,%
Belize,3.9,3.3,Aug/21,%
Burkina Faso,3.9,4.4,Oct/21,%
Niger,3.9,4.7,Mar/21,%
Tanzania,4,4,Oct/21,%
Euro Area,4.1,3.4,Oct/21,%
Macedonia,4.1,3.7,Oct/21,%
Algeria,4.12,5.21,Jun/21,%
Belgium,4.16,2.86,Oct/21,%
Laos,4.17,3.81,Sep/21,%
Cuba,4.2,5.6,Dec/20,%
United Kingdom,4.2,3.1,Oct/21,%
Nepal,4.24,3.49,Oct/21,%
Qatar,4.28,2.71,Oct/21,%
Bosnia and Herzegovina,4.3,3,Oct/21,%
Cyprus,4.3,4.08,Oct/21,%
Guinea Bissau,4.3,4.9,Sep/21,%
European Union,4.4,3.6,Oct/21,%
India,4.48,4.35,Oct/21,%
Germany,4.5,4.1,Oct/21,%
Ivory Coast,4.5,5.2,Oct/21,%
Colombia,4.58,4.51,Oct/21,%
Philippines,4.6,4.8,Oct/21,%
Honduras,4.65,4.62,Oct/21,%
Canada,4.7,4.4,Oct/21,%
Eritrea,4.7,-16.4,Dec/20,%
Mauritania,4.7,4.7,Oct/21,%
Central African Republic,4.78,3.59,Dec/20,%
Iceland,4.8,4.5,Nov/21,%
Somalia,4.86,4.24,Oct/21,%
East Timor,4.9,4.1,Oct/21,%
New Zealand,4.9,3.3,Sep/21,%
Congo,4.92,6.23,Feb/21,%
Bhutan,4.97,5.3,Sep/21,%
Nicaragua,4.98,4.12,Aug/21,%
South Africa,5,5,Oct/21,%
Ireland,5.1,3.7,Oct/21,%
Slovakia,5.1,4.6,Oct/21,%
Lesotho,5.4,5.2,Sep/21,%
Spain,5.4,4,Oct/21,%
El Salvador,5.49,4.97,Oct/21,%
Bangladesh,5.59,5.54,Sep/21,%
Azerbaijan,5.7,5.2,Oct/21,%
Kosovo,5.7,4.9,Oct/21,%
Czech Republic,5.8,4.9,Oct/21,%
Mauritius,5.8,5.4,Oct/21,%
South Sudan,5.81,5.05,Oct/21,%
Peru,5.83,5.23,Oct/21,%
Togo,5.9,5.7,Oct/21,%
Bulgaria,6,4.8,Oct/21,%
Chile,6,5.3,Oct/21,%
Latvia,6,4.8,Oct/21,%
United States,6.2,5.4,Oct/21,%
Mexico,6.24,6,Oct/21,%
Madagascar,6.29,6.41,Sep/21,%
Egypt,6.3,6.6,Oct/21,%
Tunisia,6.3,6.2,Oct/21,%
Mozambique,6.42,6.04,Oct/21,%
Kenya,6.45,6.91,Oct/21,%
Hungary,6.5,5.5,Oct/21,%
Myanmar,6.51,5.68,Jul/21,%
Serbia,6.6,5.7,Oct/21,%
Poland,6.8,5.9,Oct/21,%
Guyana,6.84,7.63,Sep/21,%
Estonia,7,6.6,Oct/21,%
Liberia,7,7.12,Aug/21,%
Iraq,7.3,8.2,Sep/21,%
Gambia,7.34,7.01,Oct/21,%
Paraguay,7.6,6.4,Oct/21,%
Sri Lanka,7.6,5.7,Oct/21,%
Dominican Republic,7.72,7.74,Oct/21,%
Uruguay,7.89,7.41,Oct/21,%
Romania,7.94,6.29,Oct/21,%
Lithuania,8,6.3,Oct/21,%
Russia,8.13,7.4,Oct/21,%
Jamaica,8.2,6.1,Sep/21,%
Tajikistan,8.7,9.6,Oct/21,%
Botswana,8.8,8.4,Oct/21,%
Moldova,8.8,6.7,Oct/21,%
Kazakhstan,8.9,8.9,Oct/21,%
Armenia,9.1,8.9,Oct/21,%
Sao Tome and Principe,9.1,8.8,Sep/21,%
Pakistan,9.2,8.98,Oct/21,%
Mongolia,9.7,9.6,Oct/21,%
Malawi,9.8,8.9,Oct/21,%
Burundi,9.87,10.49,Oct/21,%
Seychelles,10,9.8,Oct/21,%
Turkmenistan,10,13.4,Dec/20,%
Belarus,10.5,10.2,Oct/21,%
Uzbekistan,10.6,10.8,Oct/21,%
Brazil,10.67,10.25,Oct/21,%
Ukraine,10.9,11,Oct/21,%
Haiti,10.91,12.2,Aug/21,%
Ghana,11,10.6,Oct/21,%
Sierra Leone,11.63,10.9,Sep/21,%
Kyrgyzstan,12.5,13.5,Oct/21,%
Guinea,12.7,13.05,Oct/21,%
Georgia,12.8,12.3,Oct/21,%
Nigeria,15.99,16.63,Oct/21,%
Zambia,19.3,21.1,Nov/21,%
Turkey,19.89,19.58,Oct/21,%
Angola,26.87,26.57,Oct/21,%
Ethiopia,34.2,34.8,Oct/21,%
Iran,39.2,43.7,Oct/21,%
Argentina,52.1,52.5,Oct/21,%
Zimbabwe,58.4,54.49,Nov/21,%
Suriname,69.5,59.8,Sep/21,%
Syria,139,134,Aug/21,%
Lebanon,174,144,Oct/21,%
Sudan,366,388,Sep/21,%
